,Village_Area_Name,Beat_Name,Year,count
173,A.V ROAD TO DODDAPET CIRCLE,2 ND BEAT..,2023,36
174,A.V ROAD TO DODDAPET CIRCLE,2 ND BEAT..,2024,6
175,A.VENKATAPURA VILLAGE,Village Beat No 20..,2017,1
176,A.VENKATAPURA VILLAGE,Village Beat No 20..,2018,3
177,A.VENKATAPURA VILLAGE,Village Beat No 20..,2019,1
178,A.VENKATAPURA VILLAGE,Village Beat No 20..,2020,2
179,A.VENKATAPURA VILLAGE,Village Beat No 20..,2021,5
180,A.VENKATAPURA VILLAGE,Village Beat No 20..,2022,4
181,A.VENKATAPURA VILLAGE,Village Beat No 20..,2023,4
182,A.VENKATAPURA VILLAGE,Village Beat No 20..,2024,1
183,AAA,Beat 02..,2018,1
184,AAA,Beat 02..,2019,4
185,AAA,Beat 02..,2020,1
186,AAA,Beat 02..,2021,3
187,AAA,Beat 02..,2022,2
188,AAA,Beat 02..,2023,2
189,AAA,Beat 02..,2024,1
190,AADANURU VILLAGE,NEW V BEAT 09..,2019,2
191,AADANURU VILLAGE,NEW V BEAT 09..,2020,2
192,AADANURU VILLAGE,NEW V BEAT 09..,2021,1
193,AADANURU VILLAGE,NEW V BEAT 09..,2022,3
194,AASARAMOHALLA,BEAT 3..,2016,5
195,AASARAMOHALLA,BEAT 3..,2017,1
196,AASARAMOHALLA,BEAT 3..,2018,4
197,AASARAMOHALLA,BEAT 3..,2019,1
198,AASARAMOHALLA,BEAT 3..,2022,1
199,AASARAMOHALLA,BEAT 3..,2023,2
200,ABACHURU,BEAT NO 11..,2019,3
201,ABACHURU,BEAT NO 11..,2021,1
202,ABALAVADI,New Beat 13..,2017,1
203,ABALAVADI,New Beat 13..,2018,6
204,ABALAVADI,New Beat 13..,2019,4
205,ABALAVADI,New Beat 13..,2020,2
206,ABALAVADI,New Beat 13..,2022,4
207,ABANALI,BEAT NO 21..,2020,1
208,ABASE,BEAT 6..,2023,9
209,ABASE,BEAT 6..,2024,2
210,ABBAIAH REDDY LAYOUT,6D..,2018,2
211,ABBAIAH REDDY LAYOUT,6D..,2019,3
212,ABBAIAH REDDY LAYOUT,6D..,2020,1
213,ABBAIAH REDDY LAYOUT,6D..,2021,1
214,ABBAIAH REDDY LAYOUT,6D..,2023,4
215,ABBALATHI,BEAT 11..,2016,3
216,ABBALATHI,BEAT 11..,2017,6
217,ABBALATHI,BEAT 11..,2019,2
218,ABBALATHI,BEAT 11..,2020,8
219,ABBALATHI,BEAT 11..,2021,3
220,ABBALATHI,BEAT 11..,2022,3
221,ABBENAHALLI,New beat 20..,2019,2
222,ABBENAHALLI,New beat 20..,2021,5
223,ABBENAHALLI,New beat 20..,2022,5
224,ABBENAHALLI,New beat 20..,2023,1
225,ABBENAHALLI,Village Beat  2..,2016,1
226,ABBENAHALLI,Village Beat  2..,2017,2
227,ABBENAHALLI,Village Beat  2..,2018,4
228,ABBENAHALLI,Village Beat  2..,2019,6
229,ABBENAHALLI,Village Beat  2..,2020,3
230,ABBENAHALLI,Village Beat  2..,2021,8
231,ABBENAHALLI,Village Beat  2..,2022,6
232,ABBETUMKUR,BEAT 1..,2016,12
233,ABBETUMKUR,BEAT 1..,2017,16
234,ABBETUMKUR,BEAT 1..,2018,11
235,ABBETUMKUR,BEAT 1..,2019,20
236,ABBETUMKUR,BEAT 1..,2020,13
237,ABBETUMKUR,BEAT 1..,2021,12
238,ABBETUMKUR,BEAT 1..,2022,5
239,ABBETUMKUR,BEAT 1..,2023,7
240,ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,BEAT 5..,2016,22
241,ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,BEAT 5..,2017,41
242,ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,BEAT 5..,2018,17
243,ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,BEAT 5..,2019,23
244,ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,BEAT 5..,2020,21
245,ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,BEAT 5..,2021,28
246,ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,BEAT 5..,2022,31
247,ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,BEAT 5..,2023,51
248,ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,BEAT 5..,2024,10
249,ABBIGERI,BEAT 4..,2016,11
250,ABBIGERI,BEAT 4..,2017,2
251,ABBIGERI,BEAT 4..,2020,1
252,ABBIGERI,BEAT 4..,2022,1
253,ABBIGERI,BEAT 9..,2018,2
254,ABBIGERI,BEAT 9..,2021,1
255,ABBIGERI,BEAT 9..,2022,1
256,ABBIGERI,BEAT 9..,2023,2
257,ABBIHAL,Abbihal 03..,2017,2
258,ABBIHAL,Abbihal 03..,2019,2
259,ABBIHAL,Abbihal 03..,2020,2
260,ABBIHAL,Abbihal 03..,2021,1
261,ABBIHAL,Abbihal 03..,2022,1
262,ABBIHAL,Athani Town 01  14..,2016,2
263,ABBIHAL,Athani Town 01  14..,2017,8
264,ABBIHAL,Athani Town 01  14..,2018,2
265,ABBIHAL,Athani Town 01  14..,2019,1
266,ABBIHAL,Athani Town 01  14..,2020,2
267,ABBIHAL,Athani Town 01  14..,2021,3
268,ABBIHAL,Athani Town 01  14..,2022,2
269,ABBIHAL,Athani Town 01  14..,2023,49
270,ABBIHAL,Athani Town 01  14..,2024,5
271,ABBIHAL,New Beat No 24..,2019,1
272,ABBIHAL,New Beat No 24..,2023,1
273,ABBINAHOLE,V Beat 1..,2016,10
274,ABBINAHOLE,V Beat 1..,2017,3
275,ABBINAHOLE,V Beat 1..,2018,3
276,ABBINAHOLE,V Beat 1..,2019,1
277,ABBINAHOLE,V Beat 1..,2022,1
278,ABBINAHOLE,V Beat 1..,2023,8
279,ABBINAHOLE,V Beat 1..,2024,2
280,ABBURU,VILLAGE BEAT 18..,2018,5
281,ABBURU,VILLAGE BEAT 18..,2019,5
282,ABBURU,VILLAGE BEAT 18..,2020,5
283,ABBURU,VILLAGE BEAT 18..,2021,8
284,ABBURU,VILLAGE BEAT 18..,2022,6
285,ABBURU,VILLAGE BEAT 18..,2023,2
286,ABBURU MACHGOWDANHALY,New Village Beat 19..,2018,2
287,ABBURU MACHGOWDANHALY,New Village Beat 19..,2019,6
288,ABBURU MACHGOWDANHALY,New Village Beat 19..,2020,3
289,ABBURU MACHGOWDANHALY,New Village Beat 19..,2021,5
290,ABBURU MACHGOWDANHALY,New Village Beat 19..,2022,2
291,ABBURU MACHGOWDANHALY,New Village Beat 19..,2024,1
292,ABHINAV NAGAR,BEAT49..,2020,2
293,ABHINAV NAGAR,BEAT49..,2021,1
294,ABHINAV NAGAR,BEAT49..,2022,2
295,ABHINAV NAGAR,BEAT49..,2023,1
296,ABLOODU,BEAT 15..,2016,3
297,ABLOODU,BEAT 15..,2017,1
298,ABLOODU,BEAT 15..,2018,1
299,ABLOODU,BEAT 15..,2019,2
300,ABLOODU,BEAT 15..,2020,6
301,ABLOODU,BEAT 15..,2021,2
302,ABLOODU,BEAT 15..,2022,5
303,ABLOODU,BEAT 15..,2023,4
304,ABLOODU,BEAT 15..,2024,2
305,ABOLI,BEAT NO 28..,2023,1
306,ABYATHMANGALA,VILLAGE BEAT 11 COP..,2016,7
307,ABYATHMANGALA,VILLAGE BEAT 11 COP..,2017,14
308,ABYATHMANGALA,VILLAGE BEAT 11 COP..,2018,6
309,ABYATHMANGALA,VILLAGE BEAT 11 COP..,2019,4
310,ABYATHMANGALA,VILLAGE BEAT 11 COP..,2020,6
311,ABYATHMANGALA,VILLAGE BEAT 11 COP..,2021,7
312,ABYATHMANGALA,VILLAGE BEAT 11 COP..,2022,3
313,ABYATHMANGALA,VILLAGE BEAT 11 COP..,2023,4
314,ABYATHMANGALA,VILLAGE BEAT 11 COP..,2024,1
315,ACHALADI,BEAT 30..,2017,3
316,ACHALADI,BEAT 30..,2018,2
317,ACHALADI,BEAT 30..,2019,1
318,ACHALADI,BEAT 30..,2020,2
319,ACHALADI,BEAT 30..,2022,5
320,ACHALADI,BEAT 30..,2023,2
321,ACHAMATTI,BEAT 08..,2018,1
322,ACHAMATTI,BEAT 08..,2020,1
323,ACHAMATTI,BEAT 08..,2022,1
324,ACHAMATTI,BEAT 08..,2023,1
325,ACHAMATTI,BEAT 08..,2024,1
326,ACHAMATTI,BEAT 16..,2017,1
327,ACHANGI,New Village Beat 15..,2017,2
328,ACHANGI,New Village Beat 15..,2018,3
329,ACHANGI,New Village Beat 15..,2019,1
330,ACHANGI,New Village Beat 15..,2020,4
331,ACHANGI,New Village Beat 15..,2021,1
332,ACHANGI,New Village Beat 15..,2022,2
333,ACHANGI,New Village Beat 15..,2023,2
334,ACHANGI,New Village Beat 15..,2024,2
335,ACHAPPANAKOPPALU VILLAGE,New Beat 31..,2020,3
336,ACHAPPANAKOPPALU VILLAGE,New Beat 31..,2022,1
337,ACHARYA COLLEGE SURROUNDING,BEAT 17..,2016,5
338,ACHARYA COLLEGE SURROUNDING,BEAT 17..,2017,3
339,ACHARYA COLLEGE SURROUNDING,BEAT 17..,2018,4
340,ACHARYA COLLEGE SURROUNDING,BEAT 17..,2019,2
341,ACHARYA COLLEGE SURROUNDING,BEAT 17..,2020,2
342,ACHARYA COLLEGE SURROUNDING,BEAT 17..,2023,6
343,ACHCHALU,BEAT 7..,2017,4
344,ACHCHALU,BEAT 7..,2018,2
345,ACHCHALU,BEAT 7..,2019,3
346,ACHCHALU,BEAT 7..,2020,5
347,ACHCHALU,BEAT 7..,2021,1
348,ACHCHALU,BEAT 7..,2022,9
349,ACHCHALU,BEAT 7..,2023,1
350,ACHEYURU,NEW BEAT 27..,2018,1
351,ACHEYURU,NEW BEAT 27..,2019,2
352,ACHEYURU,NEW BEAT 27..,2020,1
353,ACHOLA,BEAT NO  10..,2023,6
354,ADAGAL,RURAL BEAT NO 6..,2016,5
355,ADAGAL,RURAL BEAT NO 6..,2017,5
356,ADAGAL,RURAL BEAT NO 6..,2018,7
357,ADAGAL,RURAL BEAT NO 6..,2019,7
358,ADAGAL,RURAL BEAT NO 6..,2020,1
359,ADAGAL,RURAL BEAT NO 6..,2021,6
360,ADAGAL,RURAL BEAT NO 6..,2022,8
361,ADAGAL,RURAL BEAT NO 6..,2023,7
362,ADAGAL,RURAL BEAT NO 6..,2024,1
363,ADAGANAHALLI,02..,2016,9
364,ADAGANAHALLI,02..,2017,14
365,ADAGANAHALLI,02..,2018,9
366,ADAGANAHALLI VILLAGE,New beat 16..,2017,1
367,ADAGANAHALLI VILLAGE,New beat 16..,2019,1
368,ADAGANAHALLI VILLAGE,New beat 16..,2020,3
369,ADAGANAHALLI VILLAGE,New beat 16..,2021,2
370,ADAGANAHALLI VILLAGE,New beat 16..,2022,1
371,ADAGANAHALLI VILLAGE,New beat 16..,2023,1
372,ADAGURU,New Village Beat 05..,2017,1
373,ADAGURU,New Village Beat 05..,2018,1
374,ADAGURU,New Village Beat 05..,2019,2
375,ADAGURU,New Village Beat 05..,2020,5
376,ADAGURU,New Village Beat 05..,2021,1
377,ADAGURU,New Village Beat 05..,2022,4
378,ADAGURU,New Village Beat 05..,2023,5
379,ADAGURU,New Village Beat 05..,2024,1
380,ADAGURU,New Village Beat 19..,2018,1
381,ADAGURU,New Village Beat 19..,2019,1
382,ADAGURU,New Village Beat 19..,2021,3
383,ADAGURU,New Village Beat 19..,2022,1
384,ADAGURU,New Village Beat 19..,2023,9
385,ADAGURU,Village Beat 5..,2016,16
386,ADAGURU,Village Beat 5..,2017,12
387,ADAGURU,Village Beat 5..,2022,1
388,ADAGURU,Village Beat 5..,2023,2
389,ADAGURU,Village Beat 5..,2024,1
390,ADAHALLI,13 NEW VILLAGE BEAT..,2023,5
391,ADAHALLI,13 NEW VILLAGE BEAT..,2024,4
392,ADAHALLI,BEAT 27..,2017,1
393,ADAHALLI,BEAT 27..,2018,4
394,ADAHALLI,BEAT 27..,2021,6
395,ADAHALLI,BEAT 27..,2022,2
396,ADAHALLI,BEAT 27..,2023,1
397,ADAKALAGUDDA,Beat 26..,2017,2
398,ADAKALAGUDDA,Beat 26..,2018,1
399,ADAKALAGUDDA,Beat 26..,2019,1
400,ADAKALAGUDDA,Beat 26..,2021,2
401,ADAKALAGUDDA,Beat 26..,2024,1
402,ADAKAMARANAHALLI,Beat 9..,2016,4
403,ADAKAMARANAHALLI,Beat 9..,2017,4
404,ADAKAMARANAHALLI,Beat 9..,2018,2
405,ADAKAMARANAHALLI,Beat 9..,2019,4
406,ADAKAMARANAHALLI,Beat 9..,2020,5
407,ADAKAMARANAHALLI,Beat 9..,2021,1
408,ADAKAMARANAHALLI,Beat 9..,2022,2
409,ADAKAMARANAHALLI,Beat 9..,2023,3
410,ADAKANAHALLI HUNDI,29th Village Beat..,2019,1
411,ADAKANAHALLI HUNDI,29th Village Beat..,2020,6
412,ADAKANAHALLI HUNDI,29th Village Beat..,2021,5
413,ADAKE PLOT,Beat 30..,2018,1
414,ADAKE PLOT,Beat 30..,2019,1
415,ADAKE PLOT,Beat 30..,2020,1
416,ADAKE PLOT,Beat 30..,2022,1
417,ADAKE PLOT,Beat 30..,2023,1
418,ADALAHATTI,BEAT 28..,2017,4
419,ADALAHATTI,BEAT 28..,2018,2
420,ADALAHATTI,BEAT 28..,2019,2
421,ADALAHATTI,BEAT 28..,2020,4
422,ADALAHATTI,BEAT 28..,2021,4
423,ADALAHATTI,BEAT 28..,2022,2
424,ADALAHATTI,BEAT 28..,2023,3
425,ADALI,NEW BEAT 4..,2020,2
426,ADALI,NEW BEAT 4..,2021,1
427,ADALI,NEW BEAT 4..,2022,2
428,ADALI,NEW BEAT 4..,2023,1
429,ADANNAGARAHALLI,Village Beat 16..,2021,1
430,ADANNAGARAHALLI,Village Beat 16..,2023,5
431,ADAPURA,08..,2020,1
432,ADAPURA,08..,2022,4
433,ADAPURA,08..,2023,7
434,ADARGUNCHI,NEW BEAT 10..,2020,1
435,ADARGUNCHI,NEW BEAT 10..,2024,1
436,ADARSH NAGAR,BEAT NO 2..,2016,27
437,ADARSH NAGAR,BEAT NO 2..,2017,27
438,ADARSH NAGAR,BEAT NO 2..,2018,23
439,ADARSH NAGAR,BEAT NO 2..,2019,20
440,ADARSH NAGAR,BEAT NO 2..,2020,12
441,ADARSH NAGAR,BEAT NO 2..,2021,19
442,ADARSH NAGAR,BEAT NO 2..,2022,36
443,ADARSH NAGAR,BEAT NO 2..,2023,33
444,ADARSH NAGAR,BEAT NO 2..,2024,2
445,ADARSH NAGAR COLONY GULBARGA,2..,2016,8
446,ADARSH NAGAR COLONY GULBARGA,2..,2017,8
447,ADARSH NAGAR COLONY GULBARGA,2..,2018,8
448,ADARSH NAGAR COLONY GULBARGA,2..,2019,9
449,ADARSH NAGAR COLONY GULBARGA,2..,2020,10
450,ADARSH NAGAR COLONY GULBARGA,2..,2021,11
451,ADARSH NAGAR COLONY GULBARGA,2..,2022,15
452,ADARSH NAGAR COLONY GULBARGA,2..,2023,19
453,ADARSH NAGAR COLONY GULBARGA,2..,2024,3
454,ADARSH NAGAR FOUR TO SEVAN CROSS,Beat 32..,2018,2
455,ADARSH NAGAR FOUR TO SEVAN CROSS,Beat 32..,2021,1
456,ADARSH NAGAR FOUR TO SEVAN CROSS,Beat 32..,2023,1
457,ADARSHA LAYOUT,15..,2017,4
458,ADARSHA LAYOUT,15..,2018,5
459,ADARSHA LAYOUT,15..,2019,3
460,ADARSHA LAYOUT,15..,2020,2
461,ADARSHA LAYOUT,15..,2021,3
462,ADARSHA LAYOUT,15..,2022,2
463,ADARSHA LAYOUT,15..,2023,6
464,ADARSHA LAYOUT,15..,2024,1
465,ADARSHA NAGARA,6th TOWN BEAT..,2019,1
466,ADARSHA NAGARA,6th TOWN BEAT..,2021,2
467,ADARSHA NAGARA,6th TOWN BEAT..,2022,2
468,ADARSHA NAGARA,6th TOWN BEAT..,2023,2
469,ADARSHANAGARA,32 ADHARSHANAGARA PARIMALANAGA..,2018,1
470,ADARSHANAGARA,32 ADHARSHANAGARA PARIMALANAGA..,2019,8
471,ADARSHANAGARA,32 ADHARSHANAGARA PARIMALANAGA..,2020,5
472,ADARSHANAGARA,32 ADHARSHANAGARA PARIMALANAGA..,2021,5
473,ADARSHANAGARA,32 ADHARSHANAGARA PARIMALANAGA..,2022,1
474,ADARSHANAGARA,32 ADHARSHANAGARA PARIMALANAGA..,2023,14
475,ADARSHANAGARA,32 ADHARSHANAGARA PARIMALANAGA..,2024,1
476,ADARSHANAGARA,New Town Beat 38..,2017,5
477,ADARSHANAGARA,New Town Beat 38..,2018,11
478,ADARSHANAGARA,New Town Beat 38..,2019,5
479,ADARSHANAGARA,New Town Beat 38..,2020,7
480,ADARSHANAGARA,New Town Beat 38..,2021,15
481,ADARSHANAGARA,New Town Beat 38..,2022,11
482,ADARSHANAGARA,New Town Beat 38..,2023,6
483,ADARSHANAGARA,New Town Beat 38..,2024,1
484,ADARSHANAGARA BADAVANE,T BEAT 5..,2016,11
485,ADARSHANAGARA BADAVANE,T BEAT 5..,2017,3
486,ADARSHANAGARA BADAVANE,T BEAT 5..,2020,1
487,ADARSHANAGARA BADAVANE,T BEAT 5..,2022,1
488,ADAVAIBHAVI VILLAGE,BEAT NO 08..,2020,1
489,ADAVAIBHAVI VILLAGE,BEAT NO 08..,2022,2
490,ADAVAIBHAVI VILLAGE,BEAT NO 08..,2023,3
491,ADAVI BHAVI,5..,2016,7
492,ADAVI BHAVI,5..,2017,6
493,ADAVI BHAVI,5..,2018,5
494,ADAVI BHAVI,5..,2019,2
495,ADAVI BHAVI,5..,2020,7
496,ADAVI BHAVI,5..,2021,2
497,ADAVI BHAVI,5..,2022,6
